SLES version,Latest SP,FCS Release date[62],General Ends[62],LTSS Ends[63],LTSS Core Ends
first,—,31 October 2000,?,—,—
7,—,13 October 2001,?,—,—
8,4,1 October 2002,30 December 2007,30 December 2009,—
9,4,3 August 2004,31 August 2011,1 August 2014,—
10,4,17 June 2006,31 July 2013,30 July 2016,—
11,4,24 March 2009,31 March 2019,31 March 2022,31 March 2028
12,5,27 October 2014,31 October 2024,31 October 2027,1 October 2030
15,7,16 July 2018,31 July 2031,31 July 2034,1 December 2037
16,PublicRC,TBA,TBA,TBA,TBA
UnsupportedSupportedLatest versionPreview version,UnsupportedSupportedLatest versionPreview version,UnsupportedSupportedLatest versionPreview version,UnsupportedSupportedLatest versionPreview version,UnsupportedSupportedLatest versionPreview version,UnsupportedSupportedLatest versionPreview version
